lambda,trained_theta,num_seeds,mean_cost,mean_cost_std,ES_0.8,ES_0.8_std,ES_0.6,ES_0.6_std,variance,variance_std,composite_metric,composite_metric_std
0.0,1,5,0.0135078577324748,0.00330706055887919,0.901633167266846,0.00319699892951893,0.552291810512543,0.00200420560535437,0.418071132898331,0.00493627775716835,0.0135078577324748,0.00330706055887919
0.125,0,5,0.0143771972507238,0.00174496417934561,0.90649049282074,0.00386147192762361,0.55495480298996,0.00175487805923809,0.42115159034729,0.00470668002294475,0.125891359196976,0.00136862075052129
0.25,1,5,0.0137308338657022,0.00223373119690096,0.905155837535858,0.00429146317217541,0.554057717323303,0.00210031633848032,0.420688408613205,0.00587436017957945,0.236587084783241,0.00129870828026256
0.375,0,5,0.0132197497412562,0.00189330361462051,0.903871405124664,0.00468036567012104,0.55319310426712,0.00255179609019775,0.420220124721527,0.00640032623787944,0.347214120510034,0.000965014277432447
0.5,1,5,0.0136551948264241,0.00195812536468194,0.905062341690063,0.00480048258511048,0.55408570766449,0.00250718787336947,0.420477700233459,0.00585923950672094,0.459358768258244,0.00200942307711517
0.625,0,5,0.013021089322865,0.0021911928227978,0.904641461372375,0.00533641287316516,0.553655326366425,0.0031222748772985,0.420967620611191,0.00695483718681382,0.570283821853809,0.00289554452076822
0.75,1,5,0.0140054225921631,0.00227710271016272,0.906061887741089,0.00502543890513699,0.554699671268463,0.00258395787034603,0.420530623197556,0.00658220329588033,0.683047771453857,0.00343485254857029
0.875,0,5,0.0135712249204516,0.00243932804270666,0.905992472171783,0.00529560821465309,0.555020582675934,0.0023826979081571,0.421824324131012,0.00718966133935866,0.794439816265367,0.00439075934074956
1.0,1,5,0.0134616874158382,0.00267750916716273,0.906933772563934,0.00522973553939189,0.555298364162445,0.00303791363864575,0.422381919622421,0.0064362964826813,0.906933772563934,0.00522973553939189
